age,workclass,educational-num,occupation,hours-per-week,income_>50K
67,Private,16,Exec-managerial,60,1
17,Private,8,Other-service,15,0
31,Private,13,Exec-managerial,40,1
58,State-gov,4,Transport-moving,40,0
25,State-gov,10,Other-service,40,0
59,State-gov,9,Adm-clerical,40,0
70,Private,5,Machine-op-inspct,40,0
35,Self-emp-not-inc,13,Sales,60,0
28,Private,9,Handlers-cleaners,50,0
28,Private,9,Exec-managerial,45,1
21,Private,10,Exec-managerial,25,0
30,Self-emp-not-inc,9,Machine-op-inspct,60,0
59,Self-emp-not-inc,10,Farming-fishing,40,0
20,Private,9,Handlers-cleaners,40,0
45,Private,4,Other-service,10,0
76,Private,4,Protective-serv,12,0
30,Private,6,Transport-moving,55,0
54,Federal-gov,9,Exec-managerial,40,1
19,Local-gov,10,Prof-specialty,30,0
44,Private,16,Prof-specialty,50,1
31,Private,10,Transport-moving,40,0
47,Private,9,Sales,40,0
37,Self-emp-not-inc,9,Craft-repair,40,0
59,Private,13,Handlers-cleaners,40,1
27,Self-emp-not-inc,7,Craft-repair,40,0
24,Private,9,Machine-op-inspct,40,0
49,Private,10,Prof-specialty,44,1
36,Private,14,Prof-specialty,60,1
54,Self-emp-inc,13,Exec-managerial,40,1
44,Private,10,Adm-clerical,32,0
35,Private,10,Craft-repair,60,0
19,Local-gov,9,Exec-managerial,35,0
71,Private,9,Exec-managerial,45,1
20,?,10,?,40,0
62,Self-emp-not-inc,9,Adm-clerical,30,0
35,Self-emp-not-inc,9,Craft-repair,60,0
64,Local-gov,5,Other-service,40,0
53,Private,1,Other-service,40,0
30,Private,10,Exec-managerial,40,0
34,Private,13,Machine-op-inspct,39,0
62,Private,13,Exec-managerial,1,1
21,State-gov,10,Prof-specialty,40,0
42,Private,9,Sales,40,0
26,Private,10,Transport-moving,52,1
43,Private,10,Tech-support,35,0
28,Private,13,Tech-support,35,0
23,Private,13,Sales,30,0
56,Self-emp-not-inc,9,Other-service,50,0
19,?,10,?,24,0
21,Private,9,Transport-moving,40,0
30,Private,14,Prof-specialty,30,0
58,Private,13,Adm-clerical,40,0
40,Private,9,Adm-clerical,40,0
21,Private,10,Adm-clerical,50,0
25,Private,5,Handlers-cleaners,40,0
63,Self-emp-not-inc,14,Prof-specialty,40,1
50,Self-emp-inc,14,Exec-managerial,45,0
29,Local-gov,9,Handlers-cleaners,45,0
50,Local-gov,9,Transport-moving,40,0
27,Private,14,Sales,40,0
19,Private,5,Machine-op-inspct,40,0
52,State-gov,16,Prof-specialty,70,1
33,Local-gov,9,Tech-support,55,0
38,State-gov,10,Tech-support,50,0
34,Federal-gov,10,Adm-clerical,72,0
49,Self-emp-inc,9,Sales,40,0
36,Private,10,Exec-managerial,55,1
66,?,7,?,40,0
46,Self-emp-not-inc,10,Exec-managerial,50,0
21,Private,9,Adm-clerical,44,0
32,Private,13,Sales,45,0
24,Private,3,Farming-fishing,60,0
53,Local-gov,9,Craft-repair,40,1
59,Private,9,Other-service,35,0
20,State-gov,9,Adm-clerical,40,0
32,Private,9,Prof-specialty,48,0
47,Private,15,Exec-managerial,40,1
37,Private,5,Machine-op-inspct,50,1
32,Private,13,Exec-managerial,55,1
20,Private,10,Other-service,25,0
46,Private,3,Machine-op-inspct,40,0
37,Private,9,Transport-moving,45,0
47,?,9,?,12,0
27,Private,9,Other-service,40,0
30,Private,9,Adm-clerical,40,0
34,Private,8,Machine-op-inspct,40,0
26,Private,13,Prof-specialty,50,0
23,Private,4,Craft-repair,25,0
20,?,10,?,40,0
21,Private,10,Other-service,15,0
42,Private,9,Machine-op-inspct,40,1
68,Self-emp-not-inc,9,Craft-repair,25,0
41,Private,10,Craft-repair,40,1
49,Private,3,Machine-op-inspct,20,0
31,Private,10,Protective-serv,40,0
66,?,11,?,30,0
58,Private,9,Adm-clerical,40,0
34,State-gov,13,Adm-clerical,55,0
63,?,13,?,40,0
